Rank;Imdb;Metascore;Filme;Votos;Ano
416;6.9;62; Han Solo: Uma História Star Wars;335,645;2018
417;7.6;80; Bravura Indômita;335,059;2010
418;6.8;49; Tron: O Legado;333,042;2010
419;7.4;83; Amor Sem Escalas;332,384;I 2009
420;7.0;73; Entrando numa Fria;331,037;2000
421;7.2;53; Atirador;330,673;I 2007
422;7.8;77; Como Treinar o Seu Dragão 2;329,655;2014
423;6.2;44; Pearl Harbor;329,334;2001
424;7.4;73; John Wick 3: Parabellum;329,179;2019
425;7.0;63; Queime Depois de Ler;329,014;2008
426;6.6;51; Bird Box;328,669;2018
427;9.3;; A Escuta;328,547;2002–2008
428;7.6;72; 50%;328,181;2011
429;6.9;39; A Lenda do Tesouro Perdido;327,630;2004
430;6.5;52; A Entrevista;327,290;II 2014
431;5.7;40; Quarteto Fantástico;327,140;I 2005
432;6.4;45; Click;326,854;2006
433;7.5;63; Os Miseráveis;326,615;2012
434;7.3;80; Os Simpsons: O Filme;326,407;2007
435;7.4;33; Equilibrium;326,379;2002
436;7.6;53; Um Sonho Possível;326,198;2009
437;6.8;72; Hellboy;324,993;2004
438;7.7;86; Missão: Impossível - Efeito Fallout;324,605;2018
439;7.6;81; Moana - Um Mar de Aventuras;324,097;I 2016
440;7.0;56; Gigantes de Aço;323,397;2011
441;6.7;48; A Proposta;323,282;I 2009
442;7.8;51; Magnatas do Crime;322,265;2019
443;7.0;71; Shazam!;322,225;2019
444;8.3;77; A Caça;321,740;2012
445;7.5;83; A Invenção de Hugo Cabret;320,574;2011
446;6.4;48; O Retorno da Múmia;320,486;2001
447;6.7;44; Kingsman: O Círculo Dourado;319,938;2017
448;6.5;65; Jogos Vorazes: A Esperança - O Final;319,267;2015
449;7.2;76; Rua Cloverfield, 10;319,099;2016
450;5.9;42; Jurassic Park III;317,860;2001
451;6.8;79; Aniquilação;317,002;I 2018
452;4.1;46; Cinquenta Tons de Cinza;316,537;2015
453;7.3;70; Dois Caras Legais;315,644;2016
454;6.6;58; Hitch, Conselheiro Amoroso;314,704;I 2005
455;6.8;50; A Ilha;314,466;2005
456;6.8;53; O Livro de Eli;314,437;2010
457;7.3;54; A Vida Secreta de Walter Mitty;313,499;2013
458;7.6;62; O Senhor das Armas;313,478;2005
459;8.0;83; Soul;313,139;2020
460;6.6;62; Kong: A Ilha da Caveira;312,947;2017
461;7.7;; Diários de um Vampiro;312,903;2009–2017
462;6.4;65; Salt;312,055;2010
463;5.8;30; Se Beber, Não Case! Parte III;311,586;2013
464;5.6;32; Transformers: A Era da Extinção;311,456;2014
465;7.7;53; Xeque-Mate;311,346;2006
